Tier,College Name,Location,Placement Officer Name,Designation,Phone,Email,Alternate Contact,Website,Verification Status
Tier 2,Dayananda Sagar College of Engineering (DSCE),"Kumaraswamy Layout, Bangalore",Mr. M.N. Guruvenkatesh,SVP - Placements & Skill Development,"+91 9844165956, 080-26663981",gm-cr@dayanandasagar.edu,"Mr. Nagesh Puranik: +91 9739213552; Mr. V. Bharath Choudry (TPO): +91 7402111074, placementcell@dsce.ac.in",https://www.dsce.edu.in/placements,Verified
Tier 2,Nitte Meenakshi Institute of Technology (NMIT),"Yelahanka, Bangalore",Dr. Vinayaka N,"Deputy Director, Career Development Cell","+91 9902385846, 080-22167821",dydirector.cdc@nmit.ac.in,"Vinayak Pavukar (TPO): +91 7676582314, nmit.placement@nmit.ac.in; placement@nmit.ac.in",https://www.nmit.ac.in,Verified
Tier 2,Bangalore Institute of Technology (BIT),"VV Puram, Bangalore",Dr. Reddappa Hosur,Training & Placement Officer,"+91 9448203812, 080-22422741",placement@bit-bangalore.edu.in,bitplacement@yahoo.com,https://bit-bangalore.edu.in/placement-about,Verified
Tier 2,BMS Institute of Technology & Management (BMSIT),"Yelahanka, Bangalore",Mrs. Ambika R. Subhash,Training & Placement Officer,"+91 9980432684, 080-68730426",placement@bmsit.in,Dr. Saneesh Cleatus T (Dean); bmsit.placements@gmail.com,https://bmsit.ac.in/placement-contact-details.php,Verified
Tier 2,New Horizon College of Engineering (NHCE),"Kadubeesanahalli, Bangalore",Mr. Pradeep Kote,Sr. Director - Career Development Centre,+91 9740033009,sr.dir_cdc@newhorizonindia.edu,Mr. Anis Mirza: +91 9900072558; tpo_nhce@newhorizonindia.edu,https://placements.newhorizoncollegeofengineering.in,Verified
Tier 2,REVA University,"Yelahanka, Bangalore",Dr. N. Ramesh,"Dean - Training, Placement & Planning",080-46966966 (Ext: 166/162/238),placement@reva.edu.in,Career Development Centre,https://www.reva.edu.in,Verified
Tier 2,RNS Institute of Technology (RNSIT),"RR Nagar, Bangalore",Dr. Mamatha G,Head - Training & Placement and CDC,"+91 9945744833, 080-28611880",placement@rnsit.ac.in,Mr. Muralikrishna K Mysore: 080-28611880; MBA: placement.mba@rnsit.ac.in,https://www.rnsit.ac.in/placements,Verified
Tier 2,MVJ College of Engineering,"Whitefield, Bangalore",Prof. Ujjwal Divakaran,Director - Placements,"+91 80-42991080, +91 9606056954",director.placement@mvjce.edu.in,Placement office: +91 80-42991030,https://mvjce.edu.in/admissions/placements,Verified
Tier 2,JSS Academy of Technical Education (JSSATE),"UTTarahalli, Bangalore",Dr. Sharana Basavana Gowda,Training & Placement Officer,"+91 9448771562, 080-28612565",placements@jssateb.ac.in,Mr. Balaji S: +91 9036088994; jssate.placement@gmail.com,https://www.jssateb.ac.in/placement,Verified
Tier 2,Dr. Ambedkar Institute of Technology (DAIT),"Mallathahalli, Bangalore",Ms. Mary Cindrella J,Placement Officer,+91 9900016269,placements@drait.edu.in,placement.training@drait.edu.in; corporaterelations@drait.edu.in,https://drait.edu.in/home/Placement-Contact-Us,Verified
Tier 2,Global Academy of Technology (GAT),"Rajarajeshwari Nagar, Bangalore",Vinod Gangadhar,GM - Training & Placement,"+91 9110262631, 080-28603158",gm.placements@gat.ac.in,Mageshwaran R: placement@gat.ac.in,https://gat.ac.in,Verified
Tier 2,BNM Institute of Technology (BNMIT),"Banashankari II Stage, Bangalore",Dr. Saritha Chakrasali,Head - Training & Placement,"+91 9945035647, 080-26717191",director_placement@bnmit.in,placement_office@bnmit.in; MBA: mbaplacements@bnmit.in,https://www.bnmit.org/department-of-training-placement,Verified
Tier 2,SJB Institute of Technology (SJBIT),"Kengeri, Bangalore",Prof. Prashanth B.R.,"Director - Corporate Affairs, T&P","+91 9902808424, +91 9916101233",placement@sjbit.edu.in,Mr. Kumara M (HR Manager): +91 9900638899,https://sjbit.edu.in/training-placement,Verified
Tier 2,Sir M Visvesvaraya Institute of Technology (Sir MVIT),"Hunasamaranahalli, Bangalore",Mr. Vijay Kumar S L,Training & Placement Officer,+91 9740664520,vijaykumar_tpo@sirmvit.edu,sirmvitplacementoffice@gmail.com,https://www.sirmvit.edu/placement,Verified
Tier 2,RV Institute of Technology & Management (RVITM),"JP Nagar 8th Phase, Bangalore",Md Ataullah,Deputy Director - Placements,+91 8892254606,placement.rvitm@rvei.edu.in,Dr. Mallanagouda Patil: +91 9900498526,https://www.rvitm.edu.in/placements,Verified
Tier 2,RajaRajeswari College of Engineering (RRCE),"Mysore Road, Bangalore",Dr. Parameshwara P,Dean - Training & Placement,"+91 9945938845, 080-28437124",parameshwara@rrce.org,Dr. Bheemeswara Reddy V: +91 9035806160; placements@rrce.org,https://www.rrce.org/placement-contact,Verified
Tier 2,Alliance University,"Anekal, Bangalore",Placement Office,Office of Career Advancement & Networking,+91 80 46199066,placements@alliance.edu.in,Bindu E V: bindu.ev@alliance.edu.in,https://www.alliance.edu.in,Verified
Tier 2,CMR University,"HRBR Layout, Bangalore",Aditya Gupta,Director - Training & Placements,+91 80 25426977,aditya.g@cmr.edu.in,Farheen Khan: +91 6364071545; Gopalakrishna M: +91 9513444634,https://cmr.edu.in/placement-cell,Verified
Tier 2,Nagarjuna College of Engineering & Technology (NCET),"Devanahalli, Bangalore",Placement Cell,Office of Placements,080-67462700/701/702,info@ncetmail.com,Visit ncet.co.in/placements,https://ncet.co.in/placements,General Office
Tier 2,Dayananda Sagar University (DSU),"Kumaraswamy Layout, Bangalore",Placement Cell (DSI Group),Centralized Placement Division,"+91 9844165956, 080-26663981",gm-cr@dayanandasagar.edu,Same as DSCE placement contacts,https://www.dayanandasagar.edu,Verified
Tier 2,Jyothy Institute of Technology (JIT),"Kanakapura Road, Bangalore",Prof. Akhilesh Sathyanarayan,Training & Placement Head,+91 8884253488,placement@jyothyit.ac.in,,https://jyothyit.ac.in/placements,Verified
Tier 2,SEA College of Engineering & Technology,"KR Puram, Bangalore",Dr. Chidanand Prasad R,Director - Placements,+91 8095700789,director.placements@seaedu.ac.in,placement.seacet@gmail.com,https://seacet.edu.in,Verified
Tier 2,Sri Revana Siddeshwara Institute of Technology (SRSIT),"Chikkajala, Bangalore",Mrs. Sowmya R. Raghavendra,Placement Officer,080-33647779 (Ext: 2),director@srsect.edu.in,principal@srsect.edu.in; +91 9972856004,https://srsect.edu.in/training-placements,Verified
Tier 2,Vemana Institute of Technology,"Koramangala, Bangalore",Prof. Somashekar,Director - Training & Placement,"+91 9902329749, +91 9902161133",placements@vemanait.edu.in,Dr. Byra Reddy G R (Placement Officer),https://vemanait.edu.in/placement.html,Verified
Tier 2,Jain (Deemed-to-be) University - Faculty of Engineering,"Kanakapura Road, Bangalore",Placement Section,Student Career Advisory & Placement Support,"+91 9900385871, +91 9342345677",placements@jainuniversity.ac.in,placements.set@jainuniversity.ac.in; senthil.nk@jainuniversity.ac.in,https://set.jainuniversity.ac.in/placements,Verified
Tier 2,Christ University - School of Engineering & Technology,"Kengeri, Bangalore",Mr. Prabhudev B V,Placement Officer,"080-62689851, +91 7829557070",placements.soet@christuniversity.in,Mr. Raja Subramanian M (Assoc Director): rajasubramanian.m@christuniversity.in; placements.engg@christuniversity.in,https://bkc.christuniversity.in/center/C/CGC/our-team-placements,Verified
Tier 3,CMR Institute of Technology (CMRIT),"Kundalahalli, Bangalore",Dr. Poonam V. Tijare,Director - Training & Placement,"+91 9342581014, 080-28524466",director.placement@cmrit.ac.in,placements@cmrit.ac.in,https://www.cmrit.ac.in/placements/contact-us,Verified
Tier 3,Acharya Institute of Technology,"Soladevanahalli, Bangalore",Dr. Hemamalini M J,Director - Placements,+91 7406644449,hemamalini2951@acharya.ac.in,placements@acharya.ac.in; pramod.nadig@acharya.ac.in,https://www.ait.ac.in/placement.html,Verified
Tier 3,AMC Engineering College,"Bannerghatta Road, Bangalore",Placement Cell,Training & Placement Department,+91 9902044117,placements@amceducation.in,General: +91 9902044114,https://www.amcgroup.edu.in,Verified
Tier 3,Atria Institute of Technology,"Hebbal, Bangalore",Mr. Narasimha Sastri K,Head - Trainings & Placements,+91 8792965212,tpo@atria.edu,celestina.s@atria.edu,https://atria.edu.in,Verified
Tier 3,Don Bosco Institute of Technology (DBIT),"Kumbalagodu, Bangalore",Prof. Umesh V,Director - Training & Placement,"+91 7259855234, 080-28437028",placements@dbit.co.in,Mr. Abhishek TV (T&P Dept),https://dbit.edu.in/placements,Verified
Tier 3,East West Institute of Technology (EWIT),"Vishwaneedam, Bangalore",Mr. Rajendra B.N,Director - Placements,"+91 8904118555, 080-23288899",rajendra.bn@ewit.edu.in,principal@ewit.edu.in,https://ewit.edu.in/placement,Verified
Tier 3,East Point College of Engineering (EPCET),"Bidarahalli, Bangalore",Prof. Dhananjaya,Director - Training & Placement,"+91 9986400400, +91 9916906243",placement@eastpoint.ac.in,Mr. Sachin N. Gudimani (Head T&P),https://epcet.edu.in/placement,Verified
Tier 3,Presidency University,"Yelahanka, Bangalore",Dr. B.V. Prabhu,Director - Placements (In Charge),+91 9442805410,bvprabhu@presidencyuniversity.in,komala.r@presidencyuniversity.in; mohammedasift@presidencyuniversity.in,https://presidencyuniversity.in/placements,Verified
Tier 3,BTL Institute of Technology & Management,"Bommasandra, Bangalore",Placement Cell,Training & Placement,"080-27833370, 080-27835319",btladmissions@gmail.com,+91 7338134797,http://www.btlitm.edu.in,General Office
Tier 3,KS School of Engineering & Management (KSSEM),"Kanakapura Road, Bangalore",Dr. Harish R,Training & Placement Officer,"+91 8496849656, +91 9845848331",placement@kssem.edu.in,Mr. Santhosh Kumar K J: +91 7829659656,https://kssem.edu.in/about_placement,Verified
Tier 3,Sai Vidya Institute of Technology (SVIT),"Rajanukunte, Bangalore",Prof. Anand Kumar V,Placement Head,"+91 9108015199, +91 9738541844",placement@saividya.ac.in,Ms. Gagana T M: +91 7019596474,https://saividya.ac.in/placement,Verified
Tier 3,Sambhram Institute of Technology,"Jalahalli East, Bangalore",Mrs. Rashmi Rajeev,Head - TPO,"+91 8762631908, +91 9686179674",placements@sambhram.org,Mrs. Ramya Hariharan: +91 7204331871,https://sambhramit.com/contact-placements,Verified
Tier 3,Cambridge Institute of Technology,"KR Puram, Bangalore",Bhanurekha Reddy,Director - Training & Placements,"+91 8884107007, 080-25618798",bhanu.director@cambridge.edu.in,Muyeez Pasha (Placement Officer),https://engg.cambridge.edu.in,Verified
Tier 3,Brindavan College of Engineering,"Yelahanka, Bangalore",Kavya N Reddy,Placement Officer,+91 6362127931,placement@brindavancollege.com,Bhavit Kumar Tripathi: +91 8147546163,https://brindavancollegeofengineering.com,Verified
Tier 3,Sapthagiri College of Engineering,"Hesaraghatta, Bangalore",Prof. Gurucharan Singh,Group CHRO - Placements,"+91 9008509999, +91 9611277233",gurucharan.singh@snpsu.edu.in,principal@sapthagiri.edu.in,https://sapthagiri.edu.in/placementcell,Verified
Tier 3,APS College of Engineering,"Kanakapura Road, Bangalore",Dr. Narsimha R Parvatikar,Placement Officer,"+91 9448576930, 080-28432108",placementaps@gmail.com,principal.apsce@gmail.com,https://www.apsce.ac.in,Verified
Tier 3,GSS Institute of Technology,"Kengeri, Bangalore",Prof. Varadaraj Iyenger,Head - Training & Placement,"080-28482515, 080-28482516",secretary@gssit.org,info@gssit.org,https://gssit.org,Verified
Tier 3,ACS College of Engineering,"Mysore Road, Bangalore",Komala R,Training & Placement Officer,"080-29748777, 080-29748333",admission@acsce.edu.in,Contact placement via college office,https://www.acsce.edu.in/about-placement,Verified
Tier 3,The Oxford College of Engineering,"HSR Layout, Bangalore",Dr. Bheemeswara Reddy V,Dean - Training & Placements,+91 9035806160,hodplacements@theoxford.edu,"Prof. Rajesh G.L: +91 9916468891, placements@theoxford.edu",https://www.theoxfordengg.org,Verified
Tier 3,T. John Institute of Technology,"Bannerghatta Road, Bangalore",Prabhin V S,Training & Placement Officer,"+91 9500692614, 080-49030544",tjitplacement@tjohngroup.com,placementcell@tjohngroup.com,https://tjohncollege.com,Verified
Tier 3,HKBK College of Engineering,"Nagawara, Bangalore",Spoorthy Mahadikar,Head - Placements,"+91 8951899042, 080-25441722",placements@hkbk.edu.in,Prameela B: +91 9035000407,https://hkbk.edu.in/engineering/placements,Verified
