City,Tier,College Name,Location,Placement Officer Name,Designation,Phone,Email,Alternate Contact,Website,Verification Status
Chennai,Tier 2,SSN College of Engineering,"Kalavakkam, OMR, Chennai",Placement Manager,Career Development Centre,"+91 7338845102, 044-27469700 Ext:259",placement@ssn.edu.in,"CDC 1st Floor, SSN Campus",https://www.ssn.edu.in/placement,Verified
Chennai,Tier 2,SRM Institute of Science and Technology (Kattankulathur),"Kattankulathur, Chennai",Directorate of Career Centre,Career Centre,"044-27455774, +91 7200478002",placement@srmist.edu.in,+91 9940036016,https://www.srmist.edu.in/placements,Verified
Chennai,Tier 2,SRM IST Ramapuram,"Ramapuram, Chennai",M. Karthick,Head - Placements,+91 9962221050,placement@srmrmp.edu.in,"Mr. T. Madhavan: +91 7550037112, +91 9842916830",https://srmrmp.edu.in/training-and-placement-cell,Verified
Chennai,Tier 2,VIT Chennai,"Vandalur-Kelambakkam Road, Chennai",Dr. Arockia SelvaKumar & Prof. Anantha Krishnan,Assistant Directors - CDC,044-39931555,chennai.pat@vit.ac.in,patqueries.chennai@vit.ac.in; Dr. Padmanabhan R (JD CDC): chennai.jdcdc@vit.ac.in,https://chennai.vit.ac.in/placements,Verified
Chennai,Tier 2,Sathyabama Institute of Science and Technology,"Jeppiaar Nagar, OMR, Chennai",Dr. E. John Bruce,Director - Placement & Corporate Affairs,044-24503810,johnbruce@sathyabama.ac.in,dean.placement@sathyabama.ac.in; director.placement@sathyabama.ac.in,https://www.sathyabama.ac.in/placements,Verified
Chennai,Tier 2,Rajalakshmi Engineering College (REC),"Thandalam, Chennai",Mr. I. Philip Praveen,Director - Training and Placement,"+91 9381436664, 044-67181015",placement@rajalakshmi.edu.in,training@rajalakshmi.edu.in,https://www.rajalakshmi.edu.in,Verified
Chennai,Tier 2,Sri Sairam Engineering College,"West Tambaram, Chennai",Dr. L. Arunachalam,Dean - Training & Placement,"+91 9677054441, 044-22512222",dean.tap@sairam.edu.in,Mr. R. Vedamoorthy (PO): +91 9677065552; sairamplacement@sairam.edu.in,https://sairam.edu.in,Verified
Chennai,Tier 2,Saveetha Engineering College,"Thandalam, Chennai",Dr. Sasikumar Siva,Professor CSE & Head Placement,044-66726666,info@saveetha.ac.in,sechr002@saveetha.ac.in,https://saveetha.ac.in/placement,Verified
Chennai,Tier 2,Sri Venkateswara College of Engineering (SVCE),"Sriperumbudur, Chennai",Dr. T. Ilango,"Director - Admission, Placement & Training",044-27152000,acm@svce.ac.in,Dr. M. Suresh Kumar (Asst PO); Mr. A. Jayakumar (Sr Manager T&P),https://www.svce.ac.in/placement,Verified
Chennai,Tier 2,Panimalar Engineering College,"Poonamallee, Chennai",Prof. N. Viswanathan,Head - Training & Placement,044-26274665,placement@panimalar.ac.in,Mr. A. Amulraj (Placement Coordinator),https://panimalar.ac.in/placement.php,Verified
Chennai,Tier 2,RMK Engineering College,"Kavaraipettai, Chennai",Dr. K.K. Sivagnana Prabhu,Head - Training & Corporate Affairs,"+91 8883033336, 044-67906755",placement@rmkec.ac.in,hod.tnp@rmkec.ac.in; Ms. Dedeepya A: placement@rmkec.ac.in,https://rmkec.ac.in,Verified
Chennai,Tier 2,Chennai Institute of Technology (CIT),"Kundrathur, Chennai",Dr. R. Balamurali,Dean - Industry Relations,"+91 9444112255, 044-71119111",admission@citchennai.net,Dr. T. Vinu: +91 7558106454,https://citchennai.edu.in,Verified
Chennai,Tier 2,KCG College of Technology,"Karapakkam, OMR, Chennai",Dr. Chandramohan R,Dean - Industry Partnership & Corporate Affairs,"+91 9677851471, 044-28389001",placement@kcgcollege.com,+91 8220221114,https://kcgcollege.ac.in/placements,Verified
Chennai,Tier 2,Hindustan Institute of Technology & Science (HITS),"Padur, OMR, Chennai",Mr. S. Arivazhagan,Head - Placement,"+91 8825892154, 1800-425-4438",placement@hindustanuniv.ac.in,044-27474262,https://hindustanuniv.ac.in/placements,Verified
Chennai,Tier 2,B.S. Abdur Rahman Crescent Institute of Science & Technology,"Vandalur, Chennai",Dr. G. Arunachalam,Joint Director - CDC & IR,"+91 9962666506, 044-22759232",placement@crescent.education,arunachalam@crescent.education; +91 7403366001,https://crescent.education/contact-placement,Verified
Chennai,Tier 2,Vel Tech Rangarajan Dr. Sagunthala R&D Institute,"Avadi, Chennai",Dr. P. Vijayaraman,Dean - Campus to Corporate,"+91 9940024091, +91 7338747791",placement@veltech.edu.in,Mr. S P Niithin (PO): +91 9940677935; Bhadhu Ravali (PO),https://www.veltech.edu.in/campus-to-corporate,Verified
Chennai,Tier 2,St. Joseph's College of Engineering,"OMR, Chennai",Dr. B. Diwan,Dean - Career Development Centre,"+91 9944987560, +91 9443782867",placement@stjosephs.ac.in,044-24501060,https://stjosephs.ac.in/placement.html,Verified
Chennai,Tier 2,Easwari Engineering College (SRM Group),"Ramapuram, Chennai",Mr. G. Swaminathan,Placement Officer,+91 7708516957,placement@eec.srmrmp.edu.in,044-43923025,https://srmeaswari.ac.in/placement,Verified
Chennai,Tier 2,Velammal Engineering College,"Surapet, Ambattur, Chennai",Mr. A. Arun Ramaswami,Head - Training & Placement,"+91 9940127839, 044-26590758",placement@velammal.edu.in,+91 9444008233,https://velammal.edu.in,Verified
